Name;Year;Theme;Theme_Group;Subtheme;Category;Packaging;Availability;Pieces;Minifigures;Owned
Belville Clock;2002;Gear;Miscellaneous;Watches/Clocks;Gear;{Not specified};{Not specified};;;180
Belville Butterfly Watch;2002;Gear;Miscellaneous;Watches/Clocks;Gear;{Not specified};{Not specified};;;250
Jack Stone Policeman Watch;2002;Gear;Miscellaneous;Watches/Clocks;Gear;{Not specified};{Not specified};;;210
Jack Stone Fireman Clock;2002;Gear;Miscellaneous;Watches/Clocks;Gear;{Not specified};{Not specified};;10;190
Bionicle Bohrok Watch;2002;Gear;Miscellaneous;Watches/Clocks;Gear;{Not specified};{Not specified};;;210
C-3PO;2002;Gear;Miscellaneous;Key Chains/Star Wars;Gear;{Not specified};{Not specified};;;1450
Luke Skywalker pen;2003;Gear;Miscellaneous;Pens;Gear;{Not specified};{Not specified};;;320
Paploo pen;2003;Gear;Miscellaneous;Pens;Gear;{Not specified};{Not specified};;;230
Storm Trooper pen;2003;Gear;Miscellaneous;Pens;Gear;{Not specified};{Not specified};;;300
Obi-Wan Kenobi pen;2003;Gear;Miscellaneous;Pens;Gear;{Not specified};{Not specified};;;260
Tusken Raider pen;2003;Gear;Miscellaneous;Pens;Gear;{Not specified};{Not specified};;;260
Yoda pen;2003;Gear;Miscellaneous;Pens;Gear;{Not specified};{Not specified};;;550
Little Robots Tiny Plush;2003;Gear;Miscellaneous;Plush;Gear;{Not specified};{Not specified};;;190
Little Robots Messy Plush;2003;Gear;Miscellaneous;Plush;Gear;{Not specified};{Not specified};;;160
Little Robots Scary Plush;2003;Gear;Miscellaneous;Plush;Gear;{Not specified};{Not specified};;;170
Little Robots Stripy Plush;2003;Gear;Miscellaneous;Plush;Gear;{Not specified};{Not specified};;;180
Little Robots Tiny Plush Mini;2003;Gear;Miscellaneous;Plush;Gear;{Not specified};{Not specified};;;160
Little Robots Messy Plush Mini;2003;Gear;Miscellaneous;Plush;Gear;{Not specified};{Not specified};;;180
Little Robots Scary Plush Mini;2003;Gear;Miscellaneous;Plush;Gear;{Not specified};{Not specified};;;180
Little Robots Stripy Plush Mini;2003;Gear;Miscellaneous;Plush;Gear;{Not specified};{Not specified};;;150
Giraffe Table;2003;Gear;Miscellaneous;Furniture;Gear;{Not specified};{Not specified};;;90
Racer;2003;Gear;Miscellaneous;Furniture;Gear;{Not specified};{Not specified};;;120
Elephant Wall;2003;Gear;Miscellaneous;Furniture;Gear;{Not specified};{Not specified};;;100
Multi Table Small;2003;Gear;Miscellaneous;Furniture;Gear;{Not specified};{Not specified};;;120
Seats for Multi Table;2003;Gear;Miscellaneous;Furniture;Gear;{Not specified};{Not specified};;;90
Drome Racers;2003;Gear;Miscellaneous;Video Games/Game Boy Advance;Gear;{Not specified};{Not specified};;;190
Drome Racers;2003;Gear;Miscellaneous;Video Games/Gamecube;Gear;{Not specified};{Not specified};;;260
BIONICLE: The Game;2003;Gear;Miscellaneous;Video Games/PS2;Gear;{Not specified};{Not specified};;;1510
BIONICLE: The Game;2003;Gear;Miscellaneous;Video Games/Xbox;Gear;{Not specified};{Not specified};;;480
BIONICLE: The Game;2003;Gear;Miscellaneous;Video Games/Gamecube;Gear;{Not specified};{Not specified};;;900
BIONICLE: The Game;2003;Gear;Miscellaneous;Video Games/PC;Gear;{Not specified};{Not specified};;;3350
BIONICLE: The Game;2003;Gear;Miscellaneous;Video Games/Game Boy Advance;Gear;{Not specified};{Not specified};;;720
Johnny Thunder;2003;Gear;Miscellaneous;Key Chains/Adventurers;Gear;{Not specified};{Not specified};;;350
Snowtrooper;2003;Gear;Miscellaneous;Key Chains/Star Wars;Gear;{Not specified};{Not specified};;;340
C-3PO;2003;Gear;Miscellaneous;Key Chains/Star Wars;Gear;{Not specified};{Not specified};;;290
NBA, Heat 04 ;2003;Gear;Miscellaneous;Key Chains/Sports;Gear;{Not specified};{Not specified};;;160
NBA, New Orleans 04;2003;Gear;Miscellaneous;Key Chains/Sports;Gear;{Not specified};{Not specified};;;150
Orient Expedition Clock;2003;Gear;Miscellaneous;Watches/Clocks;Gear;{Not specified};{Not specified};;10;260
Alpha Team Mission Deep Sea Watch;2003;Gear;Miscellaneous;Watches/Clocks;Gear;{Not specified};{Not specified};;;150
Alpha Team Mission Deep Sea Clock;2003;Gear;Miscellaneous;Watches/Clocks;Gear;Box;Retail - limited;;10;230
Bionicle Tahu Nuva Watch;2003;Gear;Miscellaneous;Watches/Clocks;Gear;{Not specified};{Not specified};;;380
Bionicle Tahu Nuva Clock;2003;Gear;Miscellaneous;Watches/Clocks;Gear;{Not specified};{Not specified};;;320
Racers Drome Watch;2003;Gear;Miscellaneous;Watches/Clocks;Gear;{Not specified};{Not specified};;;170
Racers Drome Clock;2003;Gear;Miscellaneous;Watches/Clocks;Gear;{Not specified};{Not specified};;10;240
Spybotics Watch;2003;Gear;Miscellaneous;Watches/Clocks;Gear;{Not specified};{Not specified};;;130
Coloured Pencils;2003;Gear;Miscellaneous;Stationery;Gear;{Not specified};{Not specified};;;130
Umbrella Minifigure;2003;Gear;Miscellaneous;Clothing;Gear;{Not specified};{Not specified};;;130
Orient Expedition Memo Pad Holder with Pencil;2003;Gear;Miscellaneous;Stationery;Gear;{Not specified};{Not specified};;;110
Football;2003;Gear;Miscellaneous;Miscellaneous;Gear;{Not specified};{Not specified};;;270
LEGO Blue Brick Key Chain;2003;Gear;Miscellaneous;Key Chains/Brick;Gear;{Not specified};{Not specified};;;640
Maharaja Lallu Key Chain;2003;Gear;Miscellaneous;Key Chains/Orient Expedition;Gear;{Not specified};{Not specified};;;590
Sam Sinister Key Chain;2003;Gear;Miscellaneous;Key Chains/Orient Expedition;Gear;{Not specified};{Not specified};;;630
Magnets, Small Classic Set;2003;Gear;Miscellaneous;Housewares;Gear;{Not specified};{Not specified};;;260
Magnets, Medium Classic Set;2003;Gear;Miscellaneous;Magnets/Bricks;Gear;{Not specified};{Not specified};;;330
Magnets, Large Classic Set;2003;Gear;Miscellaneous;Magnets/Bricks;Gear;{Not specified};{Not specified};;;170
Magnetic Bricks;2003;Gear;Miscellaneous;Magnets/Bricks;Gear;{Not specified};{Not specified};;;280
Basketball Cap;2003;Gear;Miscellaneous;Clothing;Gear;{Not specified};{Not specified};;;90
Hockey Cap;2003;Gear;Miscellaneous;Clothing;Gear;{Not specified};{Not specified};;;80
Santa Key Chain;2003;Gear;Miscellaneous;Key Chains/Seasonal;Gear;{Not specified};{Not specified};;;1220
LEGO Red Brick Key Chain;2003;Gear;Miscellaneous;Key Chains/Brick;Gear;{Not specified};{Not specified};;;640
{Green photo frame with bird};2003;Gear;Miscellaneous;Photo frames;Gear;{Not specified};{Not specified};;;420
{Grey photo frame with king};2003;Gear;Miscellaneous;Photo frames;Gear;{Not specified};{Not specified};;10;710
Photo Frame, Adventurers;2003;Gear;Miscellaneous;Photo frames;Gear;{Not specified};{Not specified};;10;810
Xtreme Skateboard Key Chain;2003;Gear;Miscellaneous;Key Chains/Sports;Gear;{Not specified};{Not specified};;;390
Pirate;2003;Gear;Miscellaneous;Key Chains/Pirates;Gear;{Not specified};{Not specified};;;370
Red Racer;2003;Gear;Miscellaneous;Key Chains/Racers;Gear;{Not specified};{Not specified};;;180
Sherpa Sangye Dorje ;2003;Gear;Miscellaneous;Key Chains/Adventurers;Gear;{Not specified};{Not specified};;;410
Pippin Reed ;2003;Gear;Miscellaneous;Key Chains/Adventurers;Gear;{Not specified};{Not specified};;;340
Basketball Clock;2003;Gear;Miscellaneous;Watches/Clocks;Gear;{Not specified};{Not specified};;;260
BIONICLE: Mask of Light DVD;2003;Gear;Miscellaneous;Digital media;Gear;{Not specified};Retail;;;4240
Bionicle Key Chain;2003;Gear;Miscellaneous;Key Chains/Bionicle;Gear;{Not specified};{Not specified};;;320
LEGOLAND Rose (glued);2003;Gear;Miscellaneous;Glued models;Gear;{Not specified};{Not specified};;;240
Luke Skywalker Pen;2003;Gear;Miscellaneous;Pens;Gear;{Not specified};{Not specified};;;260
3-Seat Playtable;2004;Gear;Miscellaneous;Furniture;Gear;{Not specified};{Not specified};;;340
Police Key Chain;2004;Gear;Miscellaneous;Key Chains/Miscellaneous;Gear;{Not specified};{Not specified};;;580
Letter Set Black;2004;Gear;Miscellaneous;Key Chains/Miscellaneous;Gear;{Not specified};{Not specified};;;1630
Picture Holder;2004;Gear;Miscellaneous;Photo frames;Gear;Box;LEGO exclusive;;10;820
Snowtrooper;2004;Gear;Miscellaneous;Key Chains/Star Wars;Gear;{Not specified};{Not specified};;;1180
C-3PO;2004;Gear;Miscellaneous;Key Chains/Star Wars;Gear;{Not specified};{Not specified};;;230
NBA, Nuggets 04 ;2004;Gear;Miscellaneous;Key Chains/Sports;Gear;{Not specified};{Not specified};;;150
Pirate photo frame;2004;Gear;Miscellaneous;Photo frames;Gear;{Not specified};{Not specified};;;120
Classic Magnets Medium;2004;Gear;Miscellaneous;Magnets/Bricks;Gear;{Not specified};{Not specified};;;950
Bricks with Magnets;2004;Gear;Miscellaneous;Magnets/Bricks;Gear;{Not specified};{Not specified};;;1610
Magnets;2004;Gear;Miscellaneous;Magnets/Bricks;Gear;{Not specified};{Not specified};;;150
Train Worker;2004;Gear;Miscellaneous;Key Chains/World City;Gear;{Not specified};{Not specified};;;240
Chef Key Chain;2004;Gear;Miscellaneous;Key Chains/World City;Gear;None (loose parts);LEGO exclusive;;;350
R2-D2 ;2004;Gear;Miscellaneous;Key Chains/Star Wars;Gear;{Not specified};{Not specified};;;360
Bionicle Carry Case;2004;Gear;Miscellaneous;Stationery;Gear;{Not specified};{Not specified};;;170
Toa Hordika Key Chain;2004;Gear;Miscellaneous;Key Chains/Bionicle;Gear;{Not specified};{Not specified};;;450
Bionicle Rahkshi Watch;2004;Gear;Miscellaneous;Watches/Clocks;Gear;{Not specified};{Not specified};;;430
Heart Minibag Keyring;2004;Gear;Miscellaneous;Key Chains/Clikits;Gear;{Not specified};{Not specified};;;220
Harry Potter Key Chain;2004;Gear;Miscellaneous;Key Chains/Harry Potter;Gear;{Not specified};{Not specified};;;480
Jayko's Shield;2004;Gear;Miscellaneous;Role-play toys;Gear;{Not specified};{Not specified};;;280
Jayko's Sword;2004;Gear;Miscellaneous;Role-play toys;Gear;{Not specified};{Not specified};;;280
Wristband;2004;Gear;Miscellaneous;Clothing;Gear;{Not specified};{Not specified};;;90
Belt;2004;Gear;Miscellaneous;Clothing;Gear;{Not specified};{Not specified};;;90
Lanyard with Pass Holder;2004;Gear;Miscellaneous;Clothing;Gear;{Not specified};{Not specified};;;530
Bohrok Shield;2004;Gear;Miscellaneous;Role-play toys;Gear;{Not specified};{Not specified};;;190
Blue Spaceman Key Chain;2004;Gear;Miscellaneous;Key Chains/Space;Gear;{Not specified};{Not specified};;;750
Knight's Kingdom Alarm Clock;2004;Gear;Miscellaneous;Watches/Clocks;Gear;{Not specified};{Not specified};;10;280
Designer Set Pen;2004;Gear;Miscellaneous;Pens;Gear;{Not specified};{Not specified};;;280
Wizard;2004;Gear;Miscellaneous;Glued models;Gear;{Not specified};{Not specified};;;300
Pirate;2004;Gear;Miscellaneous;Glued models;Gear;Plastic box;{Not specified};;;320
Dragon;2004;Gear;Miscellaneous;Glued models;Gear;Plastic box;{Not specified};;;270
BIONICLE Toa Whenua Backpack;2004;Gear;Miscellaneous;Miscellaneous;Gear;{Not specified};{Not specified};;;80
BIONICLE 2: Legends of Metru Nui DVD;2004;Gear;Miscellaneous;Digital media;Gear;{Not specified};Retail;;;3900
LEGO Knights' Kingdom;2004;Gear;Miscellaneous;Video Games/Game Boy Advance;Gear;{Not specified};{Not specified};;;500
Eraser Set;2004;Gear;Miscellaneous;Stationery;Gear;{Not specified};{Not specified};;;80
Vampire Key Chain;2004;Gear;Miscellaneous;Key Chains/Studios;Gear;{Not specified};{Not specified};;;980
Spider Man Key Chain;2004;Gear;Miscellaneous;Key Chains/Spider Man;Gear;{Not specified};{Not specified};;;1020
Harry Potter Key Chain;2004;Gear;Miscellaneous;Key Chains/Harry Potter;Gear;{Not specified};{Not specified};;;670
Hagrid Key Chain;2004;Gear;Miscellaneous;Key Chains/Harry Potter;Gear;{Not specified};{Not specified};;;830
Dumbledore Key Chain;2004;Gear;Miscellaneous;Key Chains/Harry Potter;Gear;{Not specified};{Not specified};;;660
Clikits Heart Pen;2004;Gear;Miscellaneous;Pens;Gear;{Not specified};{Not specified};;;90
Harry Potter Pen;2004;Gear;Miscellaneous;Pens;Gear;{Not specified};{Not specified};;;500
Santa Pen;2004;Gear;Miscellaneous;Pens;Gear;{Not specified};{Not specified};;;220
Spider-Man Pen;2004;Gear;Miscellaneous;Pens;Gear;{Not specified};{Not specified};;;280
Santa Minifigure Snow Globe;2005;Gear;Miscellaneous;Seasonal;Gear;{Not specified};{Not specified};;;1360
Snowtrooper;2005;Gear;Miscellaneous;Key Chains/Star Wars;Gear;{Not specified};{Not specified};;;270
Darth Vader;2005;Gear;Miscellaneous;Key Chains/Star Wars;Gear;{Not specified};{Not specified};;;300
Yoda;2005;Gear;Miscellaneous;Key Chains/Star Wars;Gear;{Not specified};{Not specified};;;2250
Ghost Key Chain;2005;Gear;Miscellaneous;Key Chains/Castle;Gear;{Not specified};{Not specified};;;1140
R2-D2;2005;Gear;Miscellaneous;Key Chains/Star Wars;Gear;{Not specified};{Not specified};;;5260
Lord Vladek Sword;2005;Gear;Miscellaneous;Role-play toys;Gear;{Not specified};{Not specified};;;350
Lord Jayko Sword;2005;Gear;Miscellaneous;Role-play toys;Gear;{Not specified};{Not specified};;;400
Lord Jayko Shield;2005;Gear;Miscellaneous;Role-play toys;Gear;{Not specified};{Not specified};;;320
Lord Vladek Shield;2005;Gear;Miscellaneous;Role-play toys;Gear;{Not specified};{Not specified};;;360
Obi-Wan Kenobi;2005;Gear;Miscellaneous;Key Chains/Star Wars;Gear;{Not specified};{Not specified};;;500
Knights' Kingdom Chess Set;2005;Gear;Miscellaneous;Board Games;Gear;{Not specified};{Not specified};;240;5780
Hermione Key Chain;2005;Gear;Miscellaneous;Key Chains/Harry Potter;Gear;{Not specified};{Not specified};;;560
Hagrid Key Chain;2005;Gear;Miscellaneous;Key Chains/Harry Potter;Gear;{Not specified};{Not specified};;;710
Knights' Kingdom Watch;2005;Gear;Miscellaneous;Watches/Clocks;Gear;{Not specified};{Not specified};;;500
Toa Hordika Watch;2005;Gear;Miscellaneous;Watches/Clocks;Gear;{Not specified};{Not specified};;;150
Yoda Carabiner Pen;2005;Gear;Miscellaneous;Pens;Gear;{Not specified};{Not specified};;;400
R2-D2 Carabiner Pen;2005;Gear;Miscellaneous;Pens;Gear;{Not specified};{Not specified};;;390
Heart Carabiner Pen;2005;Gear;Miscellaneous;Pens;Gear;{Not specified};{Not specified};;;130
Kitchen Timer;2005;Gear;Miscellaneous;Housewares;Gear;{Not specified};{Not specified};;;1060
Ice Bricks;2005;Gear;Miscellaneous;Housewares;Gear;{Not specified};{Not specified};;;1800
Santa Carabiner Pen;2005;Gear;Miscellaneous;Pens;Gear;{Not specified};{Not specified};;;250
From the LEGO Vaults CD-Rom;2005;Gear;Miscellaneous;Digital media;Gear;{Not specified};{Not specified};;;1060
LEGO Star Wars: The Video Game;2005;Gear;Miscellaneous;Video Games/Game Boy Advance;Gear;{Not specified};{Not specified};;;2740
BIONICLE: Maze of Shadows;2005;Gear;Miscellaneous;Video Games/Game Boy Advance;Gear;{Not specified};{Not specified};;;750
LEGO Star Wars: The Video Game;2005;Gear;Miscellaneous;Video Games/Gamecube;Gear;{Not specified};{Not specified};;;2390
CLIKITS Bedcovers Set;2005;Gear;Miscellaneous;Bedding;Gear;{Not specified};{Not specified};;;80
Nvidia Female Minifigure Key Chain;2005;Gear;Miscellaneous;Key Chains/Promotional;Gear;None (loose parts);Promotional;;;100
Nvidia Male Minifigure Key Chain;2005;Gear;Miscellaneous;Key Chains/Promotional;Gear;None (loose parts);Promotional;;;120
Limited Edition Pen Set;2005;Gear;Miscellaneous;Pens;Gear;{Not specified};{Not specified};;;210
Rascus & Jayko Pen;2005;Gear;Miscellaneous;Pens;Gear;{Not specified};{Not specified};;;130
Harry Potter Pen;2005;Gear;Miscellaneous;Pens;Gear;{Not specified};{Not specified};;;510
Bionicle Carabiner Pen;2005;Gear;Miscellaneous;Pens;Gear;{Not specified};{Not specified};;;190
Santa Carabiner Pen;2005;Gear;Miscellaneous;Pens;Gear;{Not specified};{Not specified};;;210
Darth Vader Carabiner Pen;2005;Gear;Miscellaneous;Pens;Gear;{Not specified};{Not specified};;;340
LEGO Star Wars: The Video Game;2005;Gear;Miscellaneous;Video Games/PC;Gear;Box;Retail;;;7330
LEGO Star Wars: The Video Game;2005;Gear;Miscellaneous;Video Games/PS2;Gear;{Not specified};{Not specified};;;7790
LEGO Star Wars: The Video Game;2005;Gear;Miscellaneous;Video Games/Xbox;Gear;{Not specified};{Not specified};;;2600
Inika Toa Jaller Nestle #6;2006;Gear;Miscellaneous;Fast food toys;Gear;{Not specified};{Not specified};;10;
Inika Toa Kongu Nestle #5;2006;Gear;Miscellaneous;Fast food toys;Gear;{Not specified};{Not specified};;10;
Inika Toa Hahli Nestle #4;2006;Gear;Miscellaneous;Fast food toys;Gear;{Not specified};{Not specified};;10;
Piraka Thok Nestle #3;2006;Gear;Miscellaneous;Fast food toys;Gear;{Not specified};{Not specified};;10;
Piraka Reidak Nestle #1;2006;Gear;Miscellaneous;Fast food toys;Gear;{Not specified};{Not specified};;10;
Piraka Avak Nestle #2;2006;Gear;Miscellaneous;Fast food toys;Gear;{Not specified};{Not specified};;10;
BIONICLE Towel Toa Hordika;2006;Gear;Miscellaneous;Housewares;Gear;{Not specified};{Not specified};;;170
Santa Claus Classic Key Chain;2006;Gear;Miscellaneous;Key Chains/Seasonal;Gear;{Not specified};{Not specified};;;8550
Lunchbox Black;2006;Gear;Miscellaneous;Housewares;Gear;{Not specified};{Not specified};;;600
Lunchbox Blue;2006;Gear;Miscellaneous;Housewares;Gear;{Not specified};{Not specified};;;1210
Lunchbox Green;2006;Gear;Miscellaneous;Housewares;Gear;{Not specified};{Not specified};;;370
Lunchbox Purple;2006;Gear;Miscellaneous;Housewares;Gear;{Not specified};{Not specified};;;290
Agent Keychain;2006;Gear;Miscellaneous;Key Chains/World City;Gear;{Not specified};{Not specified};;;490
Piraka Keyring with Light;2006;Gear;Miscellaneous;Lights;Gear;{Not specified};{Not specified};;;290
Imperial Royal Guard;2006;Gear;Miscellaneous;Key Chains/Star Wars;Gear;{Not specified};{Not specified};;;4660
Imperial Royal Guard;2006;Gear;Miscellaneous;Key Chains/Star Wars;Gear;{Not specified};{Not specified};;;360
Exo-Force Keyring Takeshi;2006;Gear;Miscellaneous;Key Chains/Exo-Force;Gear;{Not specified};{Not specified};;;1100
Professor Dumbledore Keychain;2006;Gear;Miscellaneous;Key Chains/Harry Potter;Gear;{Not specified};{Not specified};;;660
Harry Potter Key Chain;2006;Gear;Miscellaneous;Key Chains/Harry Potter;Gear;{Not specified};{Not specified};;;210
King Jayko;2006;Gear;Miscellaneous;Key Chains/Castle;Gear;{Not specified};{Not specified};;;280
Dracus Keyring;2006;Gear;Miscellaneous;Key Chains/Castle;Gear;{Not specified};{Not specified};;;560
Pilot Keyring;2006;Gear;Miscellaneous;Key Chains/City;Gear;{Not specified};{Not specified};;;750
Doctor Key Chain;2006;Gear;Miscellaneous;Key Chains/World City;Gear;{Not specified};{Not specified};;;160
Exo-Force Keyring Hikaru;2006;Gear;Miscellaneous;Key Chains/Exo-Force;Gear;{Not specified};{Not specified};;;760
Ludo with Mini-Figures;2006;Gear;Miscellaneous;Board Games;Gear;{Not specified};{Not specified};;160;810
Vikings Chess Set;2006;Gear;Miscellaneous;Board Games;Gear;{Not specified};{Not specified};;240;5250
Julius the Monkey Key Chain;2006;Gear;Miscellaneous;Key Chains/Animal;Gear;Tag;Promotional;;;410
Sports Constructor Watch;2006;Gear;Miscellaneous;Watches/Clocks;Gear;{Not specified};{Not specified};;;290
Magnet Set;2006;Gear;Miscellaneous;Magnets/Bricks;Gear;{Not specified};{Not specified};;;1050
LEGO Classic Magnet Bricks;2006;Gear;Miscellaneous;Magnets/Bricks;Gear;{Not specified};{Not specified};;;1070
Classic Constructor Watch;2006;Gear;Miscellaneous;Watches/Clocks;Gear;{Not specified};{Not specified};;;540
Knights' Kingdom Magnet Set;2006;Gear;Miscellaneous;Magnets/Knights' Kingdom;Gear;{Not specified};{Not specified};;;460
Star Wars Magnet Set;2006;Gear;Miscellaneous;Magnets/Star Wars;Gear;{Not specified};{Not specified};;;4140
Yoda Magnet Set;2006;Gear;Miscellaneous;Magnets/Star Wars;Gear;{Not specified};{Not specified};;;2050
Minifigures Magnet Set;2006;Gear;Miscellaneous;Magnets/Minifigures;Gear;{Not specified};{Not specified};;;820
Racers Constructor Watch;2006;Gear;Miscellaneous;Watches/Clocks;Gear;{Not specified};{Not specified};;;330
Yoda;2006;Gear;Miscellaneous;Key Chains/Star Wars;Gear;{Not specified};{Not specified};;;660
Santa Mini-Figure Snow Globe;2006;Gear;Miscellaneous;Seasonal;Gear;{Not specified};{Not specified};;;960
Sand Mould Dino Set;2006;Gear;Miscellaneous;Miscellaneous;Gear;{Not specified};{Not specified};;;110
Piraka Ball Shooter;2006;Gear;Miscellaneous;Role-play toys;Gear;{Not specified};{Not specified};;;280
Water Blaster;2006;Gear;Miscellaneous;Role-play toys;Gear;{Not specified};{Not specified};;;110
Police Vest;2006;Gear;Miscellaneous;Clothing;Gear;{Not specified};{Not specified};;;90
Coin Bank;2006;Gear;Miscellaneous;Miscellaneous;Gear;{Not specified};{Not specified};;;1350
Viking Key Chain;2006;Gear;Miscellaneous;Key Chains/Vikings;Gear;{Not specified};{Not specified};;;860
Key Chain Name Kit;2006;Gear;Miscellaneous;Key Chains/Miscellaneous;Gear;Blister pack;{Not specified};;;1580
Germany Football Keyring;2006;Gear;Miscellaneous;Key Chains/Sports;Gear;{Not specified};{Not specified};;;300
Shield of Sir Adric;2006;Gear;Miscellaneous;Role-play toys;Gear;{Not specified};{Not specified};;;160
Axe of Sir Adric;2006;Gear;Miscellaneous;Role-play toys;Gear;{Not specified};{Not specified};;;140
Helmet of Sir Adric;2006;Gear;Miscellaneous;Role-play toys;Gear;{Not specified};{Not specified};;;160
Vladek Sword with Sound;2006;Gear;Miscellaneous;Role-play toys;Gear;{Not specified};{Not specified};;;240
Dino Wallet;2006;Gear;Miscellaneous;Bags;Gear;{Not specified};{Not specified};;;110
Dino 2010 Kite;2006;Gear;Miscellaneous;Miscellaneous;Gear;{Not specified};{Not specified};;;130
Playing Cards;2006;Gear;Miscellaneous;Trading/Playing cards;Gear;{Not specified};{Not specified};;;650
Police Vest;2006;Gear;Miscellaneous;Clothing;Gear;{Not specified};{Not specified};;;80
Lunchbox Pink;2006;Gear;Miscellaneous;Housewares;Gear;{Not specified};{Not specified};;;300
Lunchbox Black;2006;Gear;Miscellaneous;Housewares;Gear;{Not specified};{Not specified};;;220
Piraka Ball Shooter Accessory Pack;2006;Gear;Miscellaneous;Role-play toys;Gear;{Not specified};{Not specified};;;180
Exo-Force Cap;2006;Gear;Miscellaneous;Clothing;Gear;{Not specified};{Not specified};;;110
England Football Keyring;2006;Gear;Miscellaneous;Key Chains/Sports;Gear;{Not specified};{Not specified};;;340
Brazil Football Keyring;2006;Gear;Miscellaneous;Key Chains/Sports;Gear;{Not specified};{Not specified};;;320
Dumbledore Keyring;2006;Gear;Miscellaneous;Key Chains/Harry Potter;Gear;{Not specified};{Not specified};;;650
Batman Magnet Set;2006;Gear;Miscellaneous;Magnets/Batman;Gear;{Not specified};{Not specified};;;1860
Catwoman Magnet Set;2006;Gear;Miscellaneous;Magnets/Batman;Gear;{Not specified};{Not specified};;;1590
Sword Toa Inika;2006;Gear;Miscellaneous;Role-play toys;Gear;{Not specified};{Not specified};;;240
Shield of the Vikings;2006;Gear;Miscellaneous;Role-play toys;Gear;{Not specified};{Not specified};;;290
Helmet of the Vikings;2006;Gear;Miscellaneous;Role-play toys;Gear;{Not specified};{Not specified};;;150
Sword of the Vikings;2006;Gear;Miscellaneous;Role-play toys;Gear;{Not specified};{Not specified};;;310
Salt and Pepper Shaker Set;2006;Gear;Miscellaneous;Housewares;Gear;{Not specified};{Not specified};;;3380
Exo Blaster;2006;Gear;Miscellaneous;Role-play toys;Gear;{Not specified};{Not specified};;;100
Batman Cap;2006;Gear;Miscellaneous;Clothing;Gear;{Not specified};{Not specified};;;160
Knights' Kingdom Stationery Set;2006;Gear;Miscellaneous;Stationery;Gear;{Not specified};{Not specified};;;100
Knights' Kingdom Notepad;2006;Gear;Miscellaneous;Stationery;Gear;{Not specified};{Not specified};;;90
Toolbox Storage;2006;Gear;Miscellaneous;Storage;Gear;{Not specified};{Not specified};;;1390
Football Magnet Set;2006;Gear;Miscellaneous;Magnets/Football;Gear;{Not specified};{Not specified};;;90
Bionicle School Rucksack;2006;Gear;Miscellaneous;Bags;Gear;{Not specified};{Not specified};;;70
Bionicle Air Light School Rucksack;2006;Gear;Miscellaneous;Bags;Gear;{Not specified};{Not specified};;;110
Bionicle Pencil Case with Pencils;2006;Gear;Miscellaneous;Stationery;Gear;{Not specified};{Not specified};;;120
Bionicle Pencil Case;2006;Gear;Miscellaneous;Stationery;Gear;{Not specified};{Not specified};;;90
Bionicle Gym Bag;2006;Gear;Miscellaneous;Bags;Gear;{Not specified};{Not specified};;;100
Bionicle Wallet;2006;Gear;Miscellaneous;Stationery;Gear;{Not specified};{Not specified};;;120
CLIKITS Heart School Rucksack;2006;Gear;Miscellaneous;Bags;Gear;{Not specified};{Not specified};;;90
CLIKITS Heart Air Light School Rucksack;2006;Gear;Miscellaneous;Bags;Gear;{Not specified};{Not specified};;;70
CLIKITS Heart Pencil Case with Pencils;2006;Gear;Miscellaneous;Stationery;Gear;{Not specified};{Not specified};;;90
CLIKITS Heart Pencil Case;2006;Gear;Miscellaneous;Stationery;Gear;{Not specified};{Not specified};;;80
CLIKITS Heart Gym Bag;2006;Gear;Miscellaneous;Stationery;Gear;{Not specified};{Not specified};;;80
CLIKITS Heart Wallet;2006;Gear;Miscellaneous;Bags;Gear;{Not specified};{Not specified};;;90
Gift Wrap Santa Mini-Figure & Tree;2006;Gear;Miscellaneous;Seasonal;Gear;{Not specified};{Not specified};;;210
Xmas Magnet Set;2006;Gear;Miscellaneous;Magnets/Seasonal;Gear;{Not specified};{Not specified};;10;1170
Tic Tac Toe;2006;Gear;Miscellaneous;Board Games;Gear;{Not specified};{Not specified};;;1610
Gift Wrap Classic;2006;Gear;Miscellaneous;Housewares;Gear;{Not specified};{Not specified};;;220
Ludo with Mini-Figures;2006;Gear;Miscellaneous;Board Games;Gear;Box;LEGO exclusive;;;760
Piraka Duvet Set;2006;Gear;Miscellaneous;Bedding;Gear;{Not specified};{Not specified};;;150
DUPLO Junior Duvet Set;2006;Gear;Miscellaneous;Bedding;Gear;{Not specified};{Not specified};;;110
DUPLO Junior Duvet Set;2006;Gear;Miscellaneous;Bedding;Gear;{Not specified};{Not specified};;;60
LEGO Brick Duvet Set;2006;Gear;Miscellaneous;Bedding;Gear;{Not specified};{Not specified};;;90
Bionicle Elastic Watch;2006;Gear;Miscellaneous;Watches/Clocks;Gear;{Not specified};{Not specified};;;120
Dino 2010 Elastic Watch;2006;Gear;Miscellaneous;Watches/Clocks;Gear;{Not specified};{Not specified};;;90
Exo-Force Elastic Watch;2006;Gear;Miscellaneous;Watches/Clocks;Gear;{Not specified};{Not specified};;;100
Ice Cube Tray;2006;Gear;Miscellaneous;Housewares;Gear;{Not specified};{Not specified};;;3260
City Mini-Figure Magnets;2006;Gear;Miscellaneous;Magnets/City;Gear;{Not specified};{Not specified};;;170
